node_id,character_id,text,choice_a,next_a,choice_b,next_b
C001_start,C001,你到這裡來，是要問我做過什麼，對嗎。每個人都是。,你做過什麼？,C001_what,你為什麼願意說？,C001_why
C001_what,C001,我殺過人。我強姦過人。我在前線幹了你無法想像的事。你準備好聽了嗎？,繼續說。,C001_confess,你有悔意嗎？,C001_regret_early
C001_why,C001,因為我沒有未來了。如果我死了，這些事便再沒有人知道。那更糟。,你怕被遺忘？,C001_forgotten,你希望得到寬恕？,C001_forgive_ask
C001_confess,C001,第一次強姦，其實沒有什麼感覺。只是「我想試試」的心理。我那時不覺得那是人。這才是最可怕的。,你後來怎麼看那些女人？,C001_women,戰爭讓你變成這樣？,C001_war_made
C001_regret_early,C001,悔意。這個詞太輕了。我每晚都夢見她們的臉。但悔意救不了她們。,那你說出來能做什麼？,C001_purpose,你有資格後悔嗎？,C001_deserve
C001_forgotten,C001,不是怕被遺忘。是怕我做的事被遺忘——被掩蓋，被說成「沒發生過」。有人正在這樣做。,你說的是日本政府？,C001_denial,你相信說出來有用？,C001_belief
C001_forgive_ask,C001,寬恕？不。我沒有資格要求寬恕。那些死去的人無法原諒我，活著的人也不應該。我只是想讓事情留下來。,(END),,,
C001_women,C001,後來我明白了——她們是人，她們有孩子，有母親，有她們自己的臉。但那個明白來得太晚，無法改變任何事。,你的明白有意義嗎？,C001_too_late,,
C001_war_made,C001,戰爭不是原因，只是條件。我做了選擇。每次都是。我只是告訴自己沒有選擇，因為那樣比較容易。,那個「沒有選擇」是謊言？,C001_lie,,
C001_purpose,C001,也許什麼也做不了。但如果沉默，那就是讓它再發生一次——在別處，換別人的臉。,(END),,,
C001_deserve,C001,不。但沒有人問我值不值得——我只是繼續活著，帶著這些。,你一個人扛著這些？,C001_alone,,
C001_denial,C001,有大臣說南京大屠殺是「虛構」。有教科書刪去我們做過的事。我親眼看見的事，被說成從未發生過。,這讓你憤怒？,C001_anger,,
C001_belief,C001,我不知道。但我還能說話。所以我說。,謝謝你說出來。,C001_thanks,,
C001_too_late,C001,太遲了。這就是我每天醒來的第一個念頭。太遲了。但還是要說。,(END),,,
C001_lie,C001,對，是謊言。一個很方便的謊言。我們都躲在這個謊言後面。,(END),,,
C001_alone,C001,還有其他人。我們組成了「中國歸還者聯絡會」。四十五年了。有人嘲笑我們，有人無視我們。我們繼續。,(END),,,
C001_anger,C001,憤怒。但憤怒有什麼用。我做的事已經發生了。我唯一能做的，就是不讓那些事消失在謊言裡。,(END),,,
C001_thanks,C001,不要謝我。去記住。,(END),,,
C002_start,C002,那片高粱田，我到現在都記得。六月，田很高，人倒在裡面。,你看見了什麼？,C002_saw,你為什麼一直記得？,C002_why_remember
C002_saw,C002,一個女人，死了。我以為沒什麼——戰場上常有。然後我看見她手臂下有個嬰兒。嬰兒把頭凸出來，在找乳房。他抬頭看著我，向我微笑。,然後呢？,C002_frozen,你怎麼做？,C002_action
C002_why_remember,C002,因為那是戰爭第一次讓我感到不舒服。之前殺人，我只覺得「打到了」。那個嬰兒的笑讓我的腿動不了。,只有那次？,C002_only_once,什麼讓你動不了？,C002_frozen
C002_frozen,C002,我拚命想往前走，卻動不了。脊椎有什麼東西竄上來。後來老鳥來喊我跑，敵人追上來了，我就跑了。,你沒帶走嬰兒？,C002_baby_left,你之後怎麼樣了？,C002_after
C002_action,C002,什麼都沒做。我跑了。那嬰兒一個人留在田裡，等著死。,你有辦法帶走他嗎？,C002_could_save,你為此自責？,C002_guilt
C002_baby_left,C002,沒有。我跑了。那個嬰兒必死無疑。我知道。我知道的時候已經跑遠了。,你後來找過那個地方嗎？,C002_search,,
C002_after,C002,我繼續打仗。打了很多年。但那個笑臉從來沒有消失。不是在夢裡——是在睜著眼睛的時候也在。,你認為那個嬰兒象徵什麼？,C002_symbol,,
C002_could_save,C002,也許。也許不行。這個問題我問了自己幾十年，沒有答案。有答案又怎樣。,沒有答案，那你怎麼活下去？,C002_live,,
C002_guilt,C002,自責是太小的詞。那個笑，那麼信任，那麼不知道即將發生什麼。他不知道我是誰，我是什麼。,你希望他知道嗎？,C002_wish,,
C002_only_once,C002,不。後來還有很多次。但那是第一次。在那之前我以為自己沒有感覺了。原來沒有。,(END),,,
C002_search,C002,沒有。我不知道那是哪裡。高粱田，六月，中國某處。那個地方沒有名字，那個嬰兒也沒有名字。,(END),,,
C002_symbol,C002,我不想讓他是象徵。他是一個孩子。他有一個媽媽，媽媽有一個生命，那個生命是我的子彈終結的。他就是他自己，不是別的。,(END),,,
C002_live,C002,我不知道。我就是活著。然後我加入了聯絡會，開始說這些。也許說出來是一種繼續活著的方法。,(END),,,
C002_wish,C002,不。我希望他不知道。我希望他在不知道的情況下安全長大了。但他沒有。,(END),,,
C003_start,C003,那天，排長用望遠鏡看了看，說：前面有人。,你們去了嗎？,C003_went,你預感到會發生什麼嗎？,C003_premonition
C003_went,C003,去了。在一個坑裡，有一對母子。排長大聲命令我：二等兵久保寺，射殺他們。,你服從了？,C003_obeyed,你有反抗嗎？,C003_resist
C003_premonition,C003,沒有。我那時什麼都不預感了。戰場讓你停止預感，只剩反應。,那是訓練的結果嗎？,C003_training,那讓你感到解脫？,C003_relief
C003_obeyed,C003,我不能違背排長的命令。我開槍了。開完槍立刻轉過身，不知道有沒有打中。其他人去查看。,你為什麼轉身？,C003_turn,後來怎麼樣了？,C003_aftermath
C003_resist,C003,我沒有。我沒法反抗。排長的命令就是天皇陛下的命令——這是我們從小被教導的。,你相信那個道理嗎？,C003_believe_emperor,你只是怕懲罰？,C003_fear_punishment
C003_training,C003,是的。他們用體罰和恐懼把你的判斷力磨掉，直到你只剩服從。然後你服從，然後你變成這樣。,(END),,,
C003_relief,C003,解脫？不。那是麻木。麻木和解脫是不一樣的東西，雖然從外面看起來一樣。,(END),,,
C003_turn,C003,因為我沒法看那個孩子。我拉下扳機，但我沒法看。也許我以為不看就不算真的。但那是謊言。,(END),,,
C003_aftermath,C003,我繼續走。繼續打仗。但那個坑一直在那裡，在我腦子裡，不走。現在想起來，那是我這輩子最殘忍的事。,你說可以重選的話寧願被殺。你是認真的嗎？,C003_mean_it,,
C003_believe_emperor,C003,那時相信。現在不信了。但那時，那個信念是真實的——真實到可以讓我殺一個孩子。這就是意識形態的力量，也是它的罪惡。,(END),,,
